DATE,POPTHM
2010-01-01,308706
2010-02-01,308904
2010-03-01,309095
2010-04-01,309289.0
2010-05-01,309485.0
2010-06-01,309691.0
2010-07-01,309913.0
2010-08-01,310146.0
2010-09-01,310385.0
2010-10-01,310612.0
2010-11-01,310820.0
2010-12-01,311020.0
2011-01-01,311204.0
2011-02-01,311373.0
2011-03-01,311551.0
2011-04-01,311740.0
2011-05-01,311935.0
2011-06-01,312147.0
2011-07-01,312372.0
2011-08-01,312605.0
2011-09-01,312842.0
2011-10-01,313060.0
2011-11-01,313260.0
2011-12-01,313454.0
2012-01-01,313636.0
2012-02-01,313811.0
2012-03-01,313993.0
2012-04-01,314176.0
2012-05-01,314368.0
2012-06-01,314576.0
2012-07-01,314796.0
2012-08-01,315031.0
2012-09-01,315264.0
2012-10-01,315485.0
2012-11-01,315692.0
2012-12-01,315877.0
2013-01-01,316038.0
2013-02-01,316191.0
2013-03-01,316357.0
2013-04-01,316535.0
2013-05-01,316729.0
2013-06-01,316934.0
2013-07-01,317156.0
2013-08-01,317397.0
2013-09-01,317635.0
2013-10-01,317864.0
2013-11-01,318076.0
2013-12-01,318276.0
2014-01-01,318464.0
2014-02-01,318642.0
2014-03-01,318827.0
2014-04-01,319020.0
2014-05-01,319225.0
2014-06-01,319438.0
2014-07-01,319670.0
2014-08-01,319919.0
2014-09-01,320166.0
2014-10-01,320403.0
2014-11-01,320616.0
2014-12-01,320815.0
2015-01-01,320997.0
2015-02-01,321164.0
2015-03-01,321344.0
2015-04-01,321538.0
2015-05-01,321740.0
2015-06-01,321954.0
2015-07-01,322186.0
2015-08-01,322427.0
2015-09-01,322670.0
2015-10-01,322901.0
2015-11-01,323113.0
2015-12-01,323318.0
2016-01-01,323509.0
2016-02-01,323687.0
2016-03-01,323871.0
2016-04-01,324061.0
2016-05-01,324260.0
2016-06-01,324476.0
2016-07-01,324697.0
2016-08-01,324924.0
2016-09-01,325155.0
2016-10-01,325368.0
2016-11-01,325562.0
2016-12-01,325742.0
2017-01-01,325901.0
2017-02-01,326050.0
2017-03-01,326207.0
2017-04-01,326371.0
2017-05-01,326548.0
2017-06-01,326743.0
2017-07-01,326939.0
2017-08-01,327140.0
2017-09-01,327342.0
2017-10-01,327528.0
2017-11-01,327699.0
2017-12-01,327848.0
2018-01-01,327969.0
2018-02-01,328085.0
2018-03-01,328219.0
2018-04-01,328364.0
2018-05-01,328521.0
2018-06-01,328692.0
2018-07-01,328863.0
2018-08-01,329040.0
2018-09-01,329216.0
2018-10-01,329379.0
2018-11-01,329527.0
2018-12-01,329659.0
2019-01-01,329766.0
2019-02-01,329862.0
2019-03-01,329977.0
2019-04-01,330103.0
2019-05-01,330240.0
2019-06-01,330393.0
2019-07-01,330553.0
2019-08-01,330729.0
2019-09-01,330904.0
2019-10-01,331066.0
2019-11-01,331213.0
2019-12-01,331345.0
2020-01-01,331443.0
2020-02-01,331525.0
2020-03-01,331633.0
2020-04-01,331680.0
2020-05-01,331678.0
2020-06-01,331718.0
2020-07-01,331777.0
2020-08-01,331839.0
2020-09-01,331907.0
2020-10-01,331971.0
2020-11-01,331996.0
2020-12-01,331968.0
2021-01-01,331943.0
2021-02-01,331950.0
2021-03-01,331953.0
2021-04-01,331963.0
2021-05-01,332008.0
2021-06-01,332092.0
2021-07-01,332192.0
2021-08-01,332295.0
2021-09-01,332403.0
2021-10-01,332513.0
2021-11-01,332598.0
2021-12-01,332640.0
2022-01-01,332684.0
2022-02-01,332750.0
